Ціна,Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Місто,Район,Працює ліфт,Підключене резервне живлення
10000.0,2,3,28.0,15.0,1 кімната,З меблями,Житловий стан,Дніпро,Центральний (Дніпро),0,0
17000.0,16,20,52.0,12.0,1 кімната,З меблями,Євроремонт,Київ,Голосіївський (Київ),0,0
15000.0,11,12,60.0,15.0,2 кімнати,З меблями,Євроремонт,Запоріжжя,Вознесенівський (Запоріжжя),0,0
7000.0,3,5,47.5,5.0,2 кімнати,З меблями,Не вказано,Харків,Київський (Харків),0,0
7500.0,3,5,37.0,7.0,1 кімната,З меблями,Не вказано,Рівне,Невідомо,0,0
7000.0,1,9,50.0,7.0,2 кімнати,З меблями,Житловий стан,Тернопіль,Невідомо,0,0
5000.0,1,5,43.0,6.0,2 кімнати,З меблями,Косметичний ремонт,Запоріжжя,Невідомо,0,0
20000.0,9,24,43.0,16.0,1 кімната,З меблями,Євроремонт,Київ,Подільський (Київ),0,0
9500.0,8,9,65.0,7.5,3 кімнати,З меблями,Косметичний ремонт,Харків,Холодногірський (Харків),0,0
40579.0,21,30,56.0,15.0,2 кімнати,З меблями,Авторський проект,Київ,Шевченківський (Київ),1,0
26000.0,17,27,114.0,17.0,3 кімнати,З меблями,Євроремонт,Київ,Подільський (Київ),0,0
16500.0,6,10,61.0,12.0,2 кімнати,З меблями,Євроремонт,Рівне,Невідомо,0,0
2500.0,1,1,25.0,5.0,1 кімната,З меблями,Не вказано,Одеса,Пересипський (Одеса),0,0
12000.0,10,10,65.0,14.0,2 кімнати,З меблями,Євроремонт,Одеса,Пересипський (Одеса),0,0
6500.0,4,4,41.0,9.0,1 кімната,З меблями,Не вказано,Одеса,Київський (Одеса),0,0
4000.0,9,14,43.0,10.0,1 кімната,З меблями,Житловий стан,Харків,Невідомо,0,0
20000.0,16,25,52.0,15.0,2 кімнати,З меблями,Євроремонт,Київ,Шевченківський (Київ),0,0
6000.0,14,14,36.0,9.0,1 кімната,З меблями,Косметичний ремонт,Суми,Невідомо,0,0
3500.0,2,7,20.0,3.0,1 кімната,З меблями,Авторський проект,Інженерний,Невідомо,0,0
12000.0,2,5,43.0,18.0,1 кімната,З меблями,Євроремонт,Софіївська Борщагівка,Невідомо,0,0
3500.0,5,5,37.0,7.0,1 кімната,Не вказано,Не вказано,Інше,Невідомо,0,0
6500.0,9,10,27.0,7.0,1 кімната,Не вказано,Євроремонт,Софіївська Борщагівка,Невідомо,1,0
7000.0,2,9,38.0,8.0,1 кімната,З меблями,Не вказано,Дніпро,Індустріальний (Дніпро),0,0
24347.0,6,21,95.0,28.0,3 кімнати,Не вказано,Не вказано,Одеса,Хаджибейський (Одеса),0,0
10499.0,14,15,54.0,20.0,2 кімнати,З меблями,Авторський проект,Одеса,Приморський (Одеса),0,0
10000.0,3,10,70.0,12.5,2 кімнати,З меблями,Євроремонт,Харків,Холодногірський (Харків),0,0
48500.0,6,18,138.0,30.0,3 кімнати,З меблями,Авторський проект,Дніпро,Соборний (Дніпро),0,0
12800.0,9,9,23.0,3.0,1 кімната,З меблями,Євроремонт,Київ,Солом'янський (Київ),1,0
9999.0,1,3,38.0,10.0,1 кімната,З меблями,Євроремонт,Одеса,Приморський (Одеса),0,0
23000.0,4,9,42.0,12.0,1 кімната,З меблями,Євроремонт,Київ,Шевченківський (Київ),0,0
3000.0,4,12,33.0,6.0,1 кімната,З меблями,Косметичний ремонт,Інше,Невідомо,0,0
4500.0,1,5,51.0,8.0,2 кімнати,З меблями,Житловий стан,Запоріжжя,Дніпровський (Запоріжжя),0,0
8000.0,2,5,34.0,6.0,1 кімната,З меблями,Косметичний ремонт,Одеса,Приморський (Одеса),0,0
6000.0,8,9,65.0,7.0,3 кімнати,З меблями,Косметичний ремонт,Харків,Невідомо,0,0
60868.0,16,17,100.0,26.0,3 кімнати,З меблями,Авторський проект,Одеса,Приморський (Одеса),0,0
