,Ціна,"Локація (Місто, Район)",Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Домашні улюбленці,Автономність при блекауті
0,10 000 грн.,"Дніпро, Центральний - Сьогодні о 16:44",2,3,28 м²,15 м²,1 кімната,З меблями,Житловий стан,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕","Працює інтернет, Працює водопопостачання, Працює опалення"
1,17 000 грн.,"Київ, Голосіївський - Сьогодні о 13:03",16,20,52 м²,12 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
2,15 000 грн.,"Запоріжжя, Вознесенівський - Сьогодні о 11:28",11,12,60 м²,15 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
3,7 000 грн.,"Харків, Київський - Сьогодні о 23:07",3,5,47.50 м²,5 м²,2 кімнати,З меблями,,"Так, великий песик 🐶, Так, котик 😸",
4,7 500 грн.,Рівне - Сьогодні о 23:06,3,5,37 м²,7 м²,1 кімната,З меблями,,,"Працює опалення, Працює водопопостачання"
5,7 000 грн.,Тернопіль - Сьогодні о 23:03,1,9,50 м²,7 м²,2 кімнати,З меблями,Житловий стан,Ні 🥺,
6,"5 000 грн.<span class=""css-1vxklie"">Договірна</span>","Запоріжжя, Комунарський - Сьогодні о 23:00",1,5,43 м²,6 м²,2 кімнати,З меблями,Косметичний ремонт,,
7,20 000 грн.,"Київ, Подільський - Сьогодні о 22:59",9,24,43 м²,16 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,Працює водопопостачання
8,9 500 грн.,"Харків, Холодногірський - Сьогодні о 22:55",8,9,65 м²,7.50 м²,3 кімнати,З меблями,Косметичний ремонт,,
9,"40 579 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Шевченківський - Сьогодні о 22:54",21,30,56 м²,15 м²,2 кімнати,З меблями,Авторський проект,"Так, інша тваринка 🦕","Працює інтернет, Працює ліфт"
10,26 000 грн.,"Київ, Подільський - Сьогодні о 22:53",17,27,114 м²,17 м²,3 кімнати,З меблями,Євроремонт,Ні 🥺,Працює інтернет
11,16 500 грн.,Рівне - Сьогодні о 22:51,6,10,61 м²,12 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
